Order_ID,Delivery_Partners,Agent_Rating,Sellers location,Buyers Location,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Exp 1st Attempt days,Actual 1st Attempt days,Status,Exp 2nd Attempt days,Actual 2nd Attempt days,Final delivery Status,Total Attempt,Exp Total Days ,Actual Total Days,SLA Status,Category
ialx566343618,India Post,1,Bhandup,Bandra,19-03-2022,11:30:00,11:45:00,Sunny,High ,motorcycle ,Metropolitian,5,0,Failed,2,0,Failed,Failed,7,8,SLA Breached,Clothing
akqg208421122,FedEx,3,Bhandup,Vikhroli,25-03-2022,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian,5,2,Delivered,2,1,Delivered,1,5,2,Early,Electronics
njpu434582536,DHL,4.4,Ghatkopar,Virar,19-03-2022,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Sports
rjto796129700,India Post,2.5,Bhandup,Borivali,05-04-2022,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Cosmetics
zguw716275638,UPS,4.6,Malad,Worli,26-03-2022,13:30:00,13:45:00,Cloudy,High ,scooter ,Urban,2,1,Delivered,1,1,Delivered,1,2,1,Early,Toys
fxuu788413734,DHL,4.8,Ghatkopar,Virar,11-03-2022,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Toys
njmo150975311,FedEx,2.5,Malad,Airoli,04-03-2022,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Toys
jvjc772545076,FedEx,4.6,Bhandup,Palghar,14-03-2022,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
uaeb808891380,DHL,4.8,Ghatkopar,Virar,20-03-2022,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Electronics
bgvc052754213,FedEx,4.1,Bhandup,Vashi,12-02-2022,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Toys
vmau710398846,DHL,2.5,Ghatkopar,Meera Road,13-02-2022,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Cosmetics
lcwn330553507,DHL,2.5,Ghatkopar,Virar,04-03-2022,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Shoes
wcjs752046999,FedEx,1,Bhandup,Vikhroli,13-02-2022,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,0,Failed,2,0,Failed,Failed,7,8,SLA Breached,Apparel
blhl288691670,Dehlivery,2.5,Ghatkopar,Vasai,14-02-2022,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Jewelry
zyvo118176215,UPS,3,Malad,Malad,02-04-2022,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian,5,2,Delivered,2,1,Delivered,1,5,2,Early,Outdoors
uhfs888375680,FedEx,4,Bhandup,Palghar,01-03-2022,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Grocery
vmfv999642595,FedEx,4.1,Malad,Airoli,16-03-2022,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
qfgc848777135,FedEx,4.9,Bhandup,Vikhroli,20-03-2022,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
vwmc439983136,DHL,2.5,Ghatkopar,Meera Road,15-02-2022,21:15:00,21:30:00,Windy,Jam ,motorcycle ,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Jewelry
ntzy027061451,Dehlivery,4.1,Ghatkopar,Vasai,16-03-2022,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Toys
pbjm971961647,UPS,2.5,Malad,Ulhasnagar,10-03-2022,22:30:00,22:45:00,Sandstorms,Low ,van,Metropolitian,5,0,Failed,2,2,Delivered,2,7,7,On Time,Books
kjic578711491,India Post,5,Bhandup,Bandra,11-03-2022,08:15:00,08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Clothing
rkzt648036688,FedEx,4.1,Malad,Airoli,27-03-2022,19:30:00,19:45:00,Windy,Jam ,scooter ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Snacks
segh259958026,Dehlivery,4,Ghatkopar,Vasai,26-03-2022,12:25:00,12:30:00,Cloudy,High ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Jewelry
owvs520891091,UPS,3,Malad,Malad,27-03-2022,18:35:00,18:50:00,Sunny,Medium ,van,Metropolitian,5,2,Delivered,2,1,Delivered,1,5,2,Early,Outdoors
edrh271340988,Dehlivery,5,Malad,Andheri,05-04-2022,20:35:00,20:40:00,Stormy,Jam ,motorcycle ,Metropolitian,5,1,Delivered,2,1,Delivered,1,5,1,Early,Cosmetics
